======== ABC command line "&acec -T 1800 -v lhs.aig rhs.aig"
Xor node 12261 belongs to Tree 69 and Tree 67.
Xor node 11576 belongs to Tree 69 and Tree 67.
Xor node 12010 belongs to Tree 69 and Tree 67.
Xor node 11808 belongs to Tree 69 and Tree 67.
Xor node 12190 belongs to Tree 69 and Tree 67.
Xor node 11996 belongs to Tree 69 and Tree 67.
Xor node 6603 belongs to Tree 67 and Tree 66.
Xor node 11840 belongs to Tree 69 and Tree 66.
Xor node 11576 belongs to Tree 69 and Tree 66.
Xor node 12010 belongs to Tree 69 and Tree 66.
Xor node 11808 belongs to Tree 69 and Tree 66.
Xor node 11996 belongs to Tree 69 and Tree 66.
Xor node 6603 belongs to Tree 67 and Tree 65.
Xor node 10487 belongs to Tree 69 and Tree 65.
Xor node 11209 belongs to Tree 69 and Tree 65.
Xor node 11885 belongs to Tree 69 and Tree 65.
Xor node 11862 belongs to Tree 69 and Tree 65.
Xor node 11840 belongs to Tree 69 and Tree 65.
Xor node 11576 belongs to Tree 69 and Tree 65.
Xor node 11808 belongs to Tree 69 and Tree 65.
Xor node 6605 belongs to Tree 69 and Tree 65.
Xor node 6603 belongs to Tree 67 and Tree 63.
Xor node 10972 belongs to Tree 67 and Tree 63.
Xor node 10971 belongs to Tree 67 and Tree 63.
Xor node 11652 belongs to Tree 67 and Tree 63.
Xor node 11653 belongs to Tree 67 and Tree 63.
Xor node 11645 belongs to Tree 67 and Tree 63.
Xor node 11576 belongs to Tree 69 and Tree 63.
Xor node 10873 belongs to Tree 69 and Tree 63.
Xor node 6605 belongs to Tree 69 and Tree 63.
Xor node 10363 belongs to Tree 64 and Tree 63.
Xor node 11552 belongs to Tree 64 and Tree 63.
Xor node 6603 belongs to Tree 67 and Tree 61.
Xor node 10729 belongs to Tree 66 and Tree 61.
Xor node 10732 belongs to Tree 66 and Tree 61.
Xor node 11427 belongs to Tree 66 and Tree 61.
Xor node 11428 belongs to Tree 66 and Tree 61.
Xor node 11420 belongs to Tree 66 and Tree 61.
Xor node 10873 belongs to Tree 69 and Tree 61.
Xor node 11114 belongs to Tree 62 and Tree 61.
Xor node 9944 belongs to Tree 69 and Tree 61.
Xor node 6605 belongs to Tree 69 and Tree 61.
Xor node 10363 belongs to Tree 64 and Tree 61.
Xor node 10122 belongs to Tree 64 and Tree 61.
Xor node 6603 belongs to Tree 67 and Tree 59.
Xor node 10484 belongs to Tree 69 and Tree 59.
Xor node 10487 belongs to Tree 69 and Tree 59.
Xor node 11208 belongs to Tree 69 and Tree 59.
Xor node 11209 belongs to Tree 69 and Tree 59.
Xor node 11201 belongs to Tree 69 and Tree 59.
Xor node 9944 belongs to Tree 69 and Tree 59.
Xor node 10873 belongs to Tree 69 and Tree 59.
Xor node 11114 belongs to Tree 62 and Tree 59.
Xor node 6605 belongs to Tree 69 and Tree 59.
Xor node 10363 belongs to Tree 64 and Tree 59.
Xor node 10122 belongs to Tree 64 and Tree 59.
Xor node 6603 belongs to Tree 67 and Tree 57.
Xor node 4866 belongs to Tree 63 and Tree 57.
Xor node 10250 belongs to Tree 63 and Tree 57.
Xor node 10253 belongs to Tree 63 and Tree 57.
Xor node 10971 belongs to Tree 67 and Tree 57.
Xor node 10972 belongs to Tree 67 and Tree 57.
Xor node 10964 belongs to Tree 67 and Tree 57.
Xor node 9944 belongs to Tree 69 and Tree 57.
Xor node 10908 belongs to Tree 59 and Tree 57.
Xor node 10910 belongs to Tree 58 and Tree 57.
Xor node 10914 belongs to Tree 58 and Tree 57.
Xor node 10873 belongs to Tree 69 and Tree 57.
Xor node 6605 belongs to Tree 69 and Tree 57.
Xor node 10363 belongs to Tree 64 and Tree 57.
Xor node 10122 belongs to Tree 64 and Tree 57.
Xor node 6603 belongs to Tree 67 and Tree 56.
Xor node 4593 belongs to Tree 61 and Tree 56.
Xor node 10005 belongs to Tree 61 and Tree 56.
Xor node 10008 belongs to Tree 61 and Tree 56.
Xor node 10729 belongs to Tree 66 and Tree 56.
Xor node 10732 belongs to Tree 66 and Tree 56.
Xor node 10724 belongs to Tree 66 and Tree 56.
Xor node 9944 belongs to Tree 69 and Tree 56.
Xor node 9650 belongs to Tree 60 and Tree 56.
Xor node 10391 belongs to Tree 69 and Tree 56.
Xor node 6605 belongs to Tree 69 and Tree 56.
Xor node 10363 belongs to Tree 64 and Tree 56.
Xor node 10122 belongs to Tree 64 and Tree 56.
